time		value
1.516230e+03		4.100000e-02
1.517030e+03		4.200000e-02
1.517830e+03		4.300000e-02
1.518630e+03		4.400000e-02
1.519430e+03		4.500000e-02
1.520230e+03		4.600000e-02
1.521030e+03		4.700000e-02
1.521830e+03		4.800000e-02
1.522630e+03		4.900000e-02
1.523430e+03		5.000000e-02
1.524230e+03		5.100000e-02
1.525030e+03		5.200000e-02
1.525830e+03		5.300000e-02
1.526630e+03		5.400000e-02
1.527430e+03		5.500000e-02
1.528230e+03		5.600000e-02
1.529030e+03		5.700000e-02
1.529830e+03		5.800000e-02
1.530630e+03		5.900000e-02
1.531430e+03		6.000000e-02
1.532230e+03		6.100000e-02
1.533030e+03		6.200000e-02
1.533830e+03		6.300000e-02
1.534630e+03		6.200000e-02
1.534630e+03		6.300000e-02
1.544682e+03		6.200000e-02
1.554733e+03		6.100000e-02
1.564784e+03		6.000000e-02
1.574835e+03		5.900000e-02
1.584886e+03		5.800000e-02
1.594938e+03		5.700000e-02
1.604989e+03		5.600000e-02
1.615040e+03		5.500000e-02
1.625091e+03		5.400000e-02
1.635142e+03		5.300000e-02
1.645194e+03		5.200000e-02
1.655245e+03		5.100000e-02
1.665296e+03		5.000000e-02
1.675347e+03		4.900000e-02
1.685398e+03		4.800000e-02
1.695450e+03		4.700000e-02
1.705501e+03		4.600000e-02
1.715552e+03		4.500000e-02
1.725603e+03		4.400000e-02
1.735654e+03		4.300000e-02
1.745706e+03		4.200000e-02
1.755757e+03		4.100000e-02
1.765808e+03		4.000000e-02
1.775859e+03		3.900000e-02
1.785910e+03		3.800000e-02
1.795962e+03		3.700000e-02
1.806013e+03		3.600000e-02
1.816064e+03		3.500000e-02
1.826115e+03		3.400000e-02
1.836166e+03		3.300000e-02
1.846218e+03		3.200000e-02
1.856269e+03		3.100000e-02
1.866320e+03		3.000000e-02
1.876371e+03		2.900000e-02
1.886422e+03		2.800000e-02
1.896474e+03		2.700000e-02
1.906525e+03		2.600000e-02
1.916576e+03		2.500000e-02
1.926627e+03		2.400000e-02
1.936678e+03		2.300000e-02
1.946730e+03		2.200000e-02
1.956781e+03		2.100000e-02
1.966832e+03		2.000000e-02
1.976883e+03		1.900000e-02
1.986934e+03		1.800000e-02
1.996986e+03		1.700000e-02
2.007037e+03		1.600000e-02
2.017088e+03		1.500000e-02
2.027139e+03		1.400000e-02
2.037190e+03		1.300000e-02
2.047242e+03		1.200000e-02
2.057293e+03		1.100000e-02
2.067344e+03		1.000000e-02
2.077395e+03		9.000000e-03
2.087446e+03		8.000000e-03
2.097498e+03		7.000000e-03
2.107549e+03		6.000000e-03
2.117600e+03		5.000000e-03
2.127651e+03		4.000000e-03
2.137702e+03		3.000000e-03
2.147754e+03		2.000000e-03
2.157805e+03		1.000000e-03
2.167856e+03		-6.938894e-18
5.474179e+03		1.000000e-03
5.474179e+03		-6.938894e-18
5.495030e+03		1.000000e-03
5.505830e+03		-6.938894e-18
